mode,N,test_size,batch,pred_unknown,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,true_marginal,fit_marginal,experiment,exp_type,mse_no_re,mse,mae,mse_trim,r2,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,sig_ratio,nll_train,nll_test,n_epochs,time
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,ignore,2.48787,2.48787,1.20354,1.82068,0.168425,,,,,,,50,6.23546
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,ohe,2.03953,2.03953,1.11812,1.50958,0.315219,,,,,,,50,4.21949
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,embed,2.10327,2.10327,1.12939,1.51615,0.275019,,,,,,,50,13.8722
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,lmmnn,2.2683,1.47753,0.934955,1.06187,0.492803,1.13843,1.01456,0.894202,0.471234,1654.6,1721.64,50,10.6509
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,copnn,2.37627,1.57636,0.953314,1.08414,0.457587,1.14854,0.852816,0.859255,0.426119,1649.05,1747.17,50,13.7503
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,ignore,2.68336,2.68336,1.21582,1.85983,0.125222,,,,,,,50,3.46246
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,ohe,2.11778,2.11778,1.11894,1.54116,0.320431,,,,,,,50,4.22727
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,embed,2.15812,2.15812,1.12137,1.57083,0.28938,,,,,,,50,10.305
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,lmmnn,2.30374,1.425,0.90531,1.01111,0.527296,1.13778,1.10415,0.883668,0.492498,1649.31,1699.55,50,9.24553
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,copnn,2.54476,1.64514,0.96657,1.13764,0.454259,1.14875,0.862643,0.86948,0.428878,1683.46,1736.14,50,14.0145
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,ignore,2.53419,2.53419,1.19249,1.74875,0.107102,,,,,,,50,3.3095
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,ohe,2.08045,2.08045,1.10073,1.48848,0.302861,,,,,,,50,4.19683
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,embed,2.14518,2.14518,1.11083,1.47431,0.243972,,,,,,,50,9.94296
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,lmmnn,2.28197,1.45783,0.896597,0.961409,0.484283,1.13466,1.00492,0.854356,0.46968,1687.99,1702.83,50,9.18541
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,copnn,2.33563,1.52732,0.890566,0.91612,0.460233,1.13868,0.874039,0.836662,0.434259,1648.44,1656.73,50,12.7862
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,ignore,2.81655,2.81655,1.27667,2.00911,0.0604814,,,,,,,50,3.43086
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,ohe,2.1872,2.1872,1.13903,1.5624,0.293246,,,,,,,50,4.2373
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,embed,2.26247,2.26247,1.13607,1.55952,0.244939,,,,,,,50,9.08062
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,lmmnn,2.51946,1.73771,1.00274,1.20978,0.419578,1.14593,1.06063,0.919806,0.480673,1730.65,1788.58,50,9.054
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,copnn,2.59321,1.76024,0.977558,1.12427,0.412211,1.14481,0.856103,0.922127,0.427856,1662.56,1755.22,50,12.7932
spatial,5000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,ignore,2.55583,2.55583,1.19372,1.72491,0.113519,,,,,,,50,3.3762
