mode,N,test_size,batch,pred_unknown,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,true_marginal,fit_marginal,experiment,exp_type,n_epochs,time
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,ignore,50,16.8198
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,ohe,50,15.5165
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,embed,50,17.5288
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,lmmnn,50,91.7334
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,copnn,50,98.7906
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,ignore,50,14.3664
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,ohe,50,15.907
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,embed,50,16.8923
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,lmmnn,50,90.0497
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,copnn,50,96.398
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,ignore,50,14.2683
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,ohe,50,16.1102
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,embed,50,16.8501
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,lmmnn,50,90.8799
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,copnn,50,98.5006
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,ignore,50,14.1836
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,ohe,50,16.1142
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,embed,50,16.9692
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,lmmnn,50,91.0028
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,copnn,50,96.9264
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,ignore,50,14.1664
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,ohe,50,15.9211
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,embed,50,16.9665
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,lmmnn,50,90.9297
spatial,100000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,copnn,50,98.4548
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,0,ignore,50,14.4081
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,0,ohe,50,22.1489
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,0,embed,50,23.2423
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,0,lmmnn,50,91.3146
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,0,copnn,50,100.268
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,1,ignore,50,14.1052
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,1,ohe,50,20.9503
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,1,embed,50,21.1221
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,1,lmmnn,50,90.8118
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,1,copnn,50,99.0939
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,2,ignore,50,14.7736
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,2,ohe,50,21.9337
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,2,embed,50,21.4851
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,2,lmmnn,50,91.5907
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,2,copnn,50,100.914
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,3,ignore,50,14.5055
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,3,ohe,50,22.092
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,3,embed,50,21.201
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,3,lmmnn,50,91.7307
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,3,copnn,50,100.505
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,4,ignore,50,14.5056
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,4,ohe,50,22.1281
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,4,embed,50,21.2076
spatial,100000,0.2,1000,FALSE,1,1,1,500,laplace,laplace,4,lmmnn,50,91.7447
